City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
355,inirida,48,CO,1523923990,95,3.87,-67.92,76.15,1.72
356,chifeng,80,CN,1523923990,51,42.27,118.96,55.94,15.14
357,mumford,0,GH,1523923991,94,5.26,-0.76,78.89,5.86
358,bell ville,64,AR,1523923991,66,-32.63,-62.69,74.66,11.79
359,teguise,20,ES,1523923200,88,29.06,-13.56,62.6,13.87
360,nizhneudinsk,0,RU,1523923992,58,54.91,99.03,38.66,4.63
361,batouri,12,CM,1523923992,84,4.44,14.36,71.51,2.62
362,scunthorpe,64,GB,1523922600,71,53.59,-0.65,51.8,14.99
363,touros,92,BR,1523923993,93,-5.2,-35.46,78.62,10.67
364,victor harbor,20,AU,1523921400,55,-35.55,138.62,62.6,9.17
365,camocim,92,BR,1523923815,100,-2.9,-40.84,73.22,6.64
366,mecca,0,SA,1523919600,44,21.43,39.83,80.6,2.73
367,la rioja,0,AR,1523923994,75,-29.41,-66.86,66.83,1.72
368,sipovo,12,BA,1523923994,82,44.28,17.08,44.42,1.95
369,tromso,0,NO,1523922600,86,69.65,18.96,33.8,3.36
370,comodoro rivadavia,0,AR,1523919600,41,-45.87,-67.48,60.8,24.16
371,xintai,0,CN,1523923995,70,35.91,117.76,53.38,6.76
372,xam nua,92,LA,1523923996,99,20.42,104.04,58.82,2.06
373,palauig,0,PH,1523923996,88,15.44,119.9,79.93,2.84
374,praia da vitoria,20,PT,1523919600,71,38.73,-27.07,57.2,30.8
375,opotiki,12,NZ,1523923997,97,-38.01,177.29,67.87,15.7
376,lerici,20,IT,1523920500,100,44.07,9.91,53.6,2.24
377,padang,56,ID,1523923997,100,-0.92,100.36,81.37,5.53
378,yulara,0,AU,1523919600,40,-25.24,130.99,68.0,9.17
379,hambantota,64,LK,1523923998,100,6.12,81.12,80.2,2.62
380,chamonix-mont-blanc,0,IT,1523923200,81,45.92,6.87,51.8,4.7
381,constitucion,5,MX,1523918640,10,23.99,-104.67,82.4,4.7
382,honiara,40,SB,1523919600,74,-9.43,159.96,86.0,13.87
